"group","metabolite"
1,"GABARAP"
1,"DHX34"
1,"MYLK4"
1,"SAGE1"
1,"C2"
1,"SYNE2"
1,"CMTM8"
1,"PTOV1"
1,"BSPRY"
1,"TACSTD2"
1,"ELOVL3"
1,"KLHL6"
1,"ANKRD16"
1,"SPIRE2"
1,"BNIPL"
1,"IQCN"
1,"TMEM45B"
1,"LOC100419861"
1,"AK8"
1,"HLA-DRB1"
1,"GPRC5A"
1,"COBL"
1,"VPS26B"
1,"FSTL3"
1,"MUCL1"
1,"SPON1"
1,"ZMAT5"
1,"HERC6"
1,"BCO1"
1,"INPP1"
1,"GDPD3"
1,"MMP13"
1,"GREM2"
1,"MUC5B"
1,"NTRAS"
1,"EVPL"
1,"PTPMT1"
1,"HS3ST6"
1,"C15orf62"
1,"FBXW8"
1,"TMEM232"
1,"CLTB"
1,"CAPN5"
1,"KRT79"
1,"UBE2L6"
1,"SMIM38"
1,"HEY2-AS1"
1,"ANO10"
1,"PRAG1"
1,"SECTM1"
1,"DCAKD"
1,"CCL17"
1,"IER5"
1,"FEZ1"
1,"KRT27"
1,"SMTNL1"
1,"STT3A-AS1"
1,"SLC35C1"
1,"EVL"
1,"GNG5B"
1,"EEF1A1P25"
1,"EMX2"
1,"KCNE3"
1,"PSMD2P1"
1,"CLDN3"
1,"LOC729732"
1,"RPL21P16"
1,"CD74"
1,"PDZK1IP1"
1,"LRRC26"
1,"C1orf226"
1,"RUNX1T1"
1,"RABL2B"
1,"FAM3B"
1,"NR2C2AP"
1,"PEBP1"
1,"TRIM31"
1,"SMIM5"
1,"CASP4"
1,"SPINT1-AS1"
1,"LOC124905021"
1,"SMUG1"
1,"TMPRSS2"
1,"RALGPS1"
1,"LINC00665"
1,"PPM1L"
1,"SEPTIN4"
1,"SLC39A2"
1,"TJP3"
1,"DHRS11"
1,"NCF4"
1,"ELF5"
1,"IER2"
1,"H2BC15"
1,"LINC00638"
1,"RP1L1"
1,"STX19"
1,"HOXD9"
1,"ALPP"
1,"SPZ1"
1,"POSTN"
1,"LINC02761"
1,"MISP3"
1,"IGDCC4"
1,"AGPAT3"
1,"TIGIT"
1,"ST6GALNAC1"
1,"KIAA1671-AS1"
1,"ACSL1"
1,"LOC105372502"
1,"PIGQ"
1,"ATP13A1"
1,"GDF7"
1,"C2CD4A"
1,"CCND1"
1,"FAM110B"
1,"OCEL1"
1,"NR3C2"
1,"MIEN1"
1,"PGLYRP3"
1,"MDGA1"
1,"SERPINB1"
1,"HLA-DPB1"
1,"IFFO1"
1,"IFI27"
1,"MTHFR"
1,"DCAF8L1"
1,"LOC100128770"
1,"LOC124903955"
1,"RAB9A"
1,"ZNF573"
1,"ABLIM2"
1,"ALDH3B2"
1,"BST2"
1,"TTC9"
1,"TM4SF1"
1,"MACROH2A2"
1,"IVL"
1,"PLAAT3"
1,"SOBP"
1,"PURG"
1,"NPIPB2"
1,"TM7SF2"
1,"PEPD"
1,"STKLD1"
1,"LOC124900221"
1,"RNU4-52P"
1,"RPS26P12"
1,"TAF9BP2"
1,"PRKD1"
1,"FBN1"
1,"EPHX1"
1,"AGR2"
1,"VSIG10L"
1,"SPTLC3"
1,"PHETA2"
1,"ATOX1"
1,"MAN2B1"
1,"RNF224"
1,"ST8SIA2"
1,"ADGRF1"
1,"SERPINB10"
1,"LINC02159"
1,"PINCR"
1,"H3-5"
1,"HOXC13-AS"
1,"MARVELD3"
1,"TTLL1"
1,"CNDP2"
1,"ZNF503"
1,"ISLR"
1,"CYSRT1"
1,"PNKP"
1,"DEFB126"
1,"MLIP"
1,"C6orf132"
1,"GPLD1"
1,"RMND5B"
1,"SGPP2"
1,"GOLGA6L1"
1,"LOC124900581"
1,"LOC124905482"
1,"LOC124907501"
1,"SLC6A7"
1,"ARHGEF10L"
1,"SLC25A18"
1,"VAV1"
1,"ITIH6"
1,"RHBDF2"
1,"DHRS1"
1,"LOC112267986"
1,"PCBD1"
1,"TRMT1"
1,"LINC01182"
1,"CCDC92"
1,"ARSG"
1,"SLC35B1"
1,"STIM1"
1,"LOC100233156"
1,"TEKT4P2"
1,"TMEM51-AS1"
1,"RN7SL652P"
1,"TXNRD3"
1,"IDUA"
1,"LOC100289495"
1,"MUC21"
1,"CGN"
1,"KLK1"
1,"USP2"
1,"SNTB1"
1,"PITX1"
1,"S100A8"
1,"B3GNTL1"
1,"C1orf115"
1,"LOC124907948"
1,"ZNF416"
1,"LRRC8B"
1,"MINDY4"
1,"TAT-AS1"
1,"STYXL1"
1,"TELO2"
1,"ULK2"
1,"LOC101928505"
1,"ARHGEF9"
1,"SPI1"
1,"SLC40A1"
1,"SPINT1"
1,"RBM3"
1,"KRTAP4-1"
1,"MAX"
1,"TMEM219"
1,"PRRX1"
1,"MIR429"
1,"SAMD12"
1,"SYNGR1"
1,"PDZRN3"
1,"FIG4"
1,"PGLYRP4"
1,"FRAS1"
1,"TRAPPC9"
1,"MAFB"
1,"LINC01269"
1,"UCP3"
1,"CSF2RB"
1,"ALMS1P1"
1,"HOMEZ"
1,"ASAP3"
1,"ILDR1"
1,"LOC105375170"
1,"CYP4B1"
1,"HES2"
1,"SNX8"
1,"TMPRSS3"
1,"GPR149"
1,"ADCY4"
1,"TGM2"
1,"CHP2"
1,"DOCK3"
1,"ICA1"
1,"QTRT1"
1,"SLC16A11"
1,"ZBTB47"
1,"LIAT1"
