"group","metabolite"
4,"HPSE"
4,"FUT2"
4,"DHRS7B"
4,"LHPP"
4,"UCP2"
4,"RHBG"
4,"SLC9A2"
4,"SLC8B1"
4,"ALAD"
4,"GRIA3"
4,"CES1"
4,"MGLL"
4,"KCNB1"
4,"FLAD1"
4,"SLC4A5"
4,"AOC1"
4,"GCNT3"
4,"SLC39A11"
4,"SCNN1G"
4,"GAL3ST2"
4,"GABRB3"
4,"CERS4"
4,"RYR3"
4,"CYP4X1"
4,"EPHX2"
4,"PIK3C2B"
4,"CA13"
4,"CNDP1"
4,"FUT3"
4,"CLIC3"
4,"CYB5R1"
4,"SOD3"
4,"PIK3R3"
4,"MECR"
4,"COMTD1"
4,"UPP2"
4,"MGST1"
4,"ASIC1"
4,"SLC34A2"
4,"SLC5A9"
4,"GABRP"
4,"PLA2G2F"
4,"CYP4Z1"
4,"APOBR"
4,"RENBP"
4,"KCNQ4"
4,"DHRS12"
4,"SLC25A33"
4,"CYP4F12"
4,"MGAT4A"
4,"ABHD11"
4,"ELOVL3"
4,"AK8"
4,"INPP1"
4,"GDPD3"
4,"HS3ST6"
4,"SLC35C1"
4,"KCNE3"
4,"SLC39A2"
4,"DHRS11"
4,"AGPAT3"
4,"ST6GALNAC1"
4,"ACSL1"
4,"PIGQ"
4,"ATP13A1"
4,"MTHFR"
4,"ALDH3B2"
4,"TM7SF2"
4,"EPHX1"
4,"SPTLC3"
4,"MAN2B1"
4,"ST8SIA2"
4,"CNDP2"
4,"GPLD1"
4,"SGPP2"
4,"SLC6A7"
4,"SLC25A18"
4,"DHRS1"
4,"PCBD1"
4,"ARSG"
4,"SLC35B1"
4,"TXNRD3"
4,"IDUA"
4,"B3GNTL1"
4,"GALNT6"
4,"SLC40A1"
4,"FIG4"
4,"UCP3"
4,"CYP4B1"
4,"ADCY4"
4,"SLC16A11"
4,"CYP4F8"
4,"SLC20A2"
4,"STAT5A"
4,"RDH12"
4,"ASIC3"
4,"KCNK15"
4,"CYP1B1"
4,"PLA2G5"
4,"CYP2F1"
4,"P4HTM"
4,"OAS1"
4,"FN3K"
4,"GNPTG"
4,"GALNT8"
4,"GRIK5"
4,"ABO"
4,"B4GALT5"
4,"ENPP5"
4,"GATM"
4,"ABHD5"
4,"PIP5K1B"
4,"CYP2J2"
4,"SCNN1B"
4,"MMAA"
4,"SMPDL3B"
4,"SLC15A1"
4,"GABRR1"
4,"SLCO3A1"
4,"CHSY3"
4,"ACSL5"
4,"GRIA1"
4,"KCNK7"
4,"HADH"
4,"AQP6"
4,"SLC24A3"
4,"TYMP"
4,"SLC25A28"
4,"TRPM4"
4,"NADSYN1"
4,"NAGK"
4,"IDO1"
4,"GCDH"
4,"CHPT1"
4,"KCNC3"
4,"SMPD3"
4,"GSTM5"
4,"FAAH2"
4,"SLC10A1"
4,"NPR2"
4,"CHRNA3"
4,"DUOX2"
4,"IYD"
4,"EDN1"
4,"DIO1"
4,"SLC5A6"
4,"NDUFA3"
4,"KCTD20"
4,"HMGCS2"
4,"PLD6"
4,"ATP6V1C2"
4,"ATP6V0A4"
4,"GYG1"
4,"ELOVL7"
4,"PLA2G2A"
4,"PNLIPRP3"
4,"ALOX5"
4,"FUT6"
4,"CPS1"
4,"FLVCR2"
4,"CACNA1C"
4,"PIGZ"
4,"B3GNT7"
4,"CACNA2D1"
4,"BBOX1"
4,"SLC9A8"
4,"ATP6V1H"
4,"DMGDH"
4,"ACSM1"
4,"MLYCD"
4,"HSD11B2"
4,"ECHDC2"
4,"HMOX2"
4,"ABCA7"
4,"DHODH"
4,"SLC44A4"
4,"ALDH16A1"
4,"STRA6"
4,"SLC7A4"
4,"UMPS"
4,"UCK2"
4,"UGT1A6"
4,"INPP5K"
4,"GLRX"
4,"SLC27A5"
4,"CA11"
4,"RDH10"
4,"CLCN3"
4,"ENPP4"
4,"THEM5"
