"","SYMBOL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"7164","BAHD1",1024.90521576623,0.16464445266127,0.119473145543843,1.3780875351679,0.168176263558697,0.456047315360528,"none"
"7165","DVL2",975.638726346097,0.252192493753657,0.18296747595069,1.37834602813028,0.16809647849063,0.456047315360528,"none"
"7166","LOC100996437",67.9111282370571,0.40416930810278,0.293458151140405,1.37726386720608,0.168430682171841,0.45613606166692,"none"
"7167","HAUS6",1570.031468565,-0.287231627141092,0.20856160602882,-1.37720279686282,0.168449557377484,0.45613606166692,"none"
"7168","HOXB1",8.80471885736873,0.782652092413671,0.568246626974786,1.37731058181609,0.168416245010055,0.45613606166692,"none"
"7169","POLR1G",412.719292842765,-0.208313741703891,0.151243327035371,-1.37734170351313,0.168406627357424,0.45613606166692,"none"
"7170","GP6",9.22269564322473,0.892599824866753,0.648164160616901,1.37711999382565,0.168475152111676,0.456147803010755,"none"
"7171","DEPDC1",625.745681177438,-0.278046296372067,0.202071150356321,-1.37598215223586,0.168827158974391,0.456199704565811,"none"
"7172","PLOD1",9420.09544096742,-0.256617396002477,0.186584603526721,-1.37534068273605,0.169025849433667,0.456199704565811,"none"
"7173","FAAH",128.219245005665,0.619076304820638,0.449886511368669,1.37607216303785,0.168799292816782,0.456199704565811,"none"
"7174","FASTKD1",475.52244332331,-0.175498919682096,0.127584093957305,-1.37555485357622,0.168959492093498,0.456199704565811,"none"
"7175","TMEM183BP",16.9634402682257,0.535412600389801,0.389084132237141,1.3760843890274,0.16879550807784,0.456199704565811,"none"
"7176","SLCO6A1",7.02571844174194,-0.77246737600025,0.561475119513386,-1.3757820233775,0.168889128599038,0.456199704565811,"none"
"7177","TRIM7",276.024248195627,0.395098486145408,0.287225385480671,1.37556952176846,0.168954948108695,0.456199704565811,"none"
"7178","CT69",71.549344254611,0.548198939540973,0.398553214955007,1.37547238102912,0.168985042552148,0.456199704565811,"none"
"7179","MANEA-DT",9.03178637746894,-0.822662277759738,0.598102963740975,-1.3754526020306,0.168991170627987,0.456199704565811,"none"
"7180","MAGEA11",2241.35032538549,-0.260889905668858,0.189621278629681,-1.37584720214001,0.168868944211515,0.456199704565811,"none"
"7181","ARMCX5",206.764037948222,-0.289855752516386,0.210693718538716,-1.37572090201219,0.168908058147023,0.456199704565811,"none"
"7182","CTR9",2067.37169950084,-0.133890575738678,0.0973015910351552,-1.3760368593593,0.168810221958844,0.456199704565811,"none"
"7183","FXYD2",5.2518632468852,1.26170015439689,0.916866903745337,1.37609957262383,0.168790807855846,0.456199704565811,"none"
"7184","VPS26A",1809.61247446546,-0.15320799970376,0.111366365402802,-1.37571159074484,0.168910942026022,0.456199704565811,"none"
"7185","ZNF605",525.434201159621,-0.165195874685075,0.119976284225842,-1.37690440865889,0.168541804000437,0.456199704565811,"none"
"7186","CARS2",996.359842778729,0.159363095195452,0.115867642838928,1.37538911891898,0.169010840562194,0.456199704565811,"none"
"7187","PCNX4",895.308087855547,-0.22351703283103,0.162406078947456,-1.37628489204117,0.168733448438696,0.456199704565811,"none"
"7188","CLEC16A",1394.68509844138,0.165456382492859,0.120227033556272,1.37619949190061,0.168759879373814,0.456199704565811,"none"
"7189","KRT38",8.93069451678291,0.80082822901971,0.582242584486104,1.37542022922719,0.169001200969495,0.456199704565811,"none"
"7190","EPG5",742.398404112616,-0.234607886356397,0.170570956937942,-1.37542692242591,0.168999127122083,0.456199704565811,"none"
"7191","GADD45GIP1",1795.33375325698,0.234188270470933,0.170109467884463,1.37669157033629,0.168607626066051,0.456199704565811,"none"
"7192","PROSER3",604.89014362682,-0.186928464966827,0.135791733139695,-1.37658206906105,0.168641497783625,0.456199704565811,"none"
"7193","CLDN18",15.1702369556907,1.22275841269981,0.889202231148097,1.37511847121778,0.169094718710415,0.456213426300687,"none"
"7194","H1-10",4043.97108407752,0.184412741513552,0.134101065931826,1.3751772980485,0.169076484658125,0.456213426300687,"none"
"7195","RPS6KA3",1597.48241527794,-0.181183708014998,0.131778155542905,-1.3749145848077,0.169157927062656,0.45629424873431,"none"
"7196","OTUD1",401.673951461191,-0.401831312228527,0.292265471102573,-1.3748846578168,0.169167206444584,0.45629424873431,"none"
"7197","TP53INP1",391.433071038841,-0.285309658819253,0.20754942827692,-1.37465885205225,0.169237233742831,0.456368395679268,"none"
"7198","LOC105370969",20.7285973643307,0.475426309679914,0.34583713208661,1.37471157828376,0.169220880241708,0.456368395679268,"none"
"7199","CCM2",2076.76254722946,0.273093935448728,0.198698104993825,1.37441640652393,0.169312445597624,0.456512908783463,"none"
"7200","PIN4",651.725886399982,-0.228876037639419,0.16655076860074,-1.37421183680087,0.16937592705528,0.456512908783463,"none"
"7201","RXRA",5613.80583749571,0.245055576440264,0.17831863647147,1.37425667495765,0.169362011486867,0.456512908783463,"none"
"7202","ZNF512B",1350.51829236497,0.317421957214645,0.230962833611914,1.3743421495599,0.169335486730682,0.456512908783463,"none"
"7203","CLTRN",20.0127820447708,-0.497238044762276,0.361865752618891,-1.37409534105858,0.169412085637647,0.456553017021727,"none"
"7204","SAP130",1322.74293416673,0.158417944571415,0.115321544119975,1.37370641175776,0.16953284555555,0.456649041813387,"none"
"7205","JMJD1C",1213.17878596023,-0.189458280152806,0.137908923728207,-1.37379275416719,0.16950603124863,0.456649041813387,"none"
"7206","PGP",1155.41522380875,0.182922526038697,0.133152029620615,1.37378699040406,0.169507821131037,0.456649041813387,"none"
"7207","CSNK1G2",4227.4200182654,0.13260676819031,0.0965308919108588,1.37372363981435,0.16952749499456,0.456649041813387,"none"
"7208","MOSPD3",486.041114945617,0.29063820421042,0.211596066197678,1.37355202028613,0.169580800956742,0.456690647301982,"none"
"7209","UBAC1",2909.97853125911,0.128723359563201,0.0937178878132423,1.37351964034568,0.169590859752164,0.456690647301982,"none"
"7210","N4BP1",1753.12505239074,0.19721361254099,0.143628518270516,1.37308116045276,0.169727117134738,0.457000219897112,"none"
"7211","ZNF217",1180.33886950805,-0.148851989793492,0.108428066603785,-1.37281789167581,0.169808967185605,0.45716323825615,"none"
"7212","SLFNL1",19.8624162257045,0.596329554452626,0.434425707926549,1.37268477341919,0.169850364806719,0.457217322501289,"none"
"7213","ERCC2",796.928649945491,-0.173406971703342,0.126339846285233,-1.37254379201829,0.169894215987083,0.457277997044008,"none"
"7214","RUBCN",275.949765719084,0.31918128003443,0.232582779964535,1.37233410007009,0.169959454752842,0.457396214803929,"none"
"7215","SORCS2",1151.33172180633,-0.285111254351314,0.207778646752661,-1.37218746395394,0.17000508692232,0.457461644104869,"none"
"7216","TPR",3463.94853263509,-0.149658072677353,0.109094981668609,-1.37181445368367,0.17012120659153,0.4576218713436,"none"
"7217","SPRED2",2068.85029578818,-0.192472167171401,0.140307243637954,-1.37179066583371,0.170128613865307,0.4576218713436,"none"
"7218","CYP2R1",417.260073063459,-0.216616391290189,0.157928624970514,-1.37160943008674,0.170185056611971,0.457681715945328,"none"
"7219","BAG6",11037.1927504272,0.176602322247858,0.128795669329562,1.37118214585282,0.17031818245851,0.45795955401156,"none"
"7220","ACVR1B",1433.00019581963,0.22522116813336,0.164263323322737,1.37109832905825,0.170344305801241,0.457972405660597,"none"
"7221","MIR1244-2",157.492814214027,-0.410694670914981,0.29956701191051,-1.3709609355708,0.170387133990012,0.457972783918788,"none"
"7222","MRTO4",3579.25752076565,0.167387021695589,0.1221020519826,1.37087803994844,0.170412978049851,0.457984878508974,"none"
"7223","WARS2",205.154654155268,-0.215024477436893,0.156893420372458,-1.37051303315611,0.170526809800624,0.458088848636136,"none"
"7224","TMBIM1",8466.19197876938,0.26268405412427,0.191667692695175,1.37051816313163,0.170525209561559,0.458088848636136,"none"
"7225","FGFR4",118.111741317319,0.541236356288163,0.394884865374845,1.37061813137456,0.170494027820864,0.458088848636136,"none"
"7226","GPAT4",1219.1283756911,0.130417055399272,0.0951652486988322,1.37042730600117,0.170553553102386,0.458088848636136,"none"
"7227","TEX30",153.145830585827,-0.244683883480792,0.178547714468098,-1.37041173677141,0.170558410390739,0.458088848636136,"none"
"7228","QKI",1579.69701988199,-0.319095545511354,0.232874630312358,-1.37024606365814,0.170610103508336,0.458170336793287,"none"
"7229","TNPO2",3016.68939406943,0.13714089261993,0.100102504457285,1.37000461040862,0.170685462466132,0.458200671604628,"none"
"7230","ZNF805",176.732806647748,-0.239839299223832,0.17505378197969,-1.37008921779055,0.170659053174766,0.458200671604628,"none"
"7231","RPL21P125",4.97776487627837,0.96112447384198,0.701683988974874,1.36973978164463,0.17076814572725,0.458365286823817,"none"
"7232","TGM4",58.915544697882,-0.367347876376969,0.268298160380202,-1.36917776795937,0.170943713684989,0.458492408067352,"none"
"7233","DENND3",599.149754999384,-0.293212843418094,0.214135777587566,-1.36928469740742,0.170910299489761,0.458492408067352,"none"
"7234","STKLD1",27.40032500875,0.405730148269394,0.296296914760645,1.36933639216983,0.170894147238573,0.458492408067352,"none"
"7235","KLF9",420.028359687996,-0.411803030098961,0.30072999011914,-1.36934473989713,0.170891539062442,0.458492408067352,"none"
"7236","TMBIM4",83.8050215656346,-0.326036538593008,0.238104949542891,-1.36929761106994,0.170906264453148,0.458492408067352,"none"
"7237","TSC22D1-AS1",16.6047088764868,-0.610724367103877,0.446032613215772,-1.36923702215567,0.170925196841006,0.458492408067352,"none"
"7238","PPP4C",11352.4751236786,0.180787559584374,0.132048218748989,1.36910259977103,0.170967205788411,0.458498104562171,"none"
"7239","SNX12",1842.4300242819,-0.225756887307686,0.164914178071989,-1.3689355878737,0.171019410202902,0.458580790392861,"none"
"7240","LOC105373383",24.7623689034829,-0.426176324023238,0.311372002315565,-1.3687047032293,0.17109159955555,0.458679754414972,"none"
"7241","KIAA0513",756.983337670908,0.29334235771254,0.214324884880633,1.36868081313057,0.171099070435636,0.458679754414972,"none"
